userid	post	ques	ans	asker	ans1	severity1	bully1	ans2	severity2	bully2	ans3	severity3	bully3
aguitarplayer94	Q: what&#039;s your favorite song? :D<br>A: I like too many songs to have a favorite	what&#039;s your favorite song? :D<br>	 I like too many songs to have a favorite	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: <3<br>A: </3 ? haha jk! <33	<3	 </3 ? haha jk! <33	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: &quot;hey angel  you duh sexy&quot;<br>A: Really?!?! Thanks?! haha	&quot;hey angel  you duh sexy&quot;	 Really?!?! Thanks?! haha	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: (:<br>A: ;(	(:	 ;(	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: ******************MEOWWW*************************<br>A: *RAWR*?	******************MEOWWW*************************	 *RAWR*?	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: any makeup tips? i suck at doing my makeup lol<br>A: Sure! Like tell me wht u wnna know?! Like wht do you use?!	any makeup tips? i suck at doing my makeup lol	 Sure! Like tell me wht u wnna know?! Like wht do you use?!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha<br>A: EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333	Apriiiiiiiiiiiill!!! I miss uuuu! It&#039;s Emma btw haha	 EMMA hahahahah :D I MISSSSSeddd YUHHHHh 222222 <33333	JustinBSource	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Are you a morning or night person?<br>A: Night 4shuree!!	Are you a morning or night person?	 Night 4shuree!!	None	No	0	n/a	No	0	n/a	No	None	n/a
aprilpooh15	Q: are you a trusting person?<br>A: alreadi answrd	are you a trusting person?	 alreadi answrd	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: are you a trusting person?<br>A: Yes veryy trustin person!!! May i help yuh:!	are you a trusting person?	 Yes veryy trustin person!!! May i help yuh:!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Are you and @TruAce best friends?<br>A: Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk	Are you and @TruAce best friends?	 Ahaha!!! Yess of course aint dat rite @TruAce ?!?! Haha He so awesome tho! BCK OFF lol jk	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Are you more of a talker or more of a listener?<br>A: Listener definitely chuz i get cut off alot so i just listen or ignore pplz!	Are you more of a talker or more of a listener?	 Listener definitely chuz i get cut off alot so i just listen or ignore pplz!	None	No	None	N/A	No	0	n/a	No	0	n/a
aprilpooh15	Q: Are yuh single and ready 2 mingle?!<br>A: Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!	Are yuh single and ready 2 mingle?!	 Hahaha Yup! Bhut not lookin 4 a man rite atm chuz dey 2much drama!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: ask me something!!!<br>A: :)	ask me something!!!	 :)	MrsNinja	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3<br>A: Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha	BAHAHAhAHA....took you longer enough;p......GEES GIRL hahah...no its totally okay:) i just wanted to play guess who i am hahaha..i fuckinggg love you too;) <3	 Hahahahhaahhaha:D ikrr im a slow american wht more can i say lmfaoo!! hahaha <333 Aww! hahaha	brookejordan	No	0	None	No	0	n/a	No	0	n/a
aprilpooh15	Q: bahahahahhaha ;p<br>A: lmaoo!!!!	bahahahahhaha ;p	 lmaoo!!!!	brookejordan	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Bitch u thee bomb like Tick TICK!<br>A: Hahah(: Thanks!	Bitch u thee bomb like Tick TICK!	 Hahah(: Thanks!	None	No	0	n/a	No	0	n/a	Yes	9	Bitch u thee bomb like Tick TICK
aprilpooh15	Q: can you please sing a cover of any justin bieber song? :D<br>A: Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!	can you please sing a cover of any justin bieber song? :D	 Hahaha... I dont sing!! LOL! so srry! Im horrible. btw I dedicate &quot;SMILE&quot; 2 yuh! Its playing!!	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Cats or Dogs?<br>A: Dogs! Im allergic 2 cats=	Cats or Dogs?	 Dogs! Im allergic 2 cats=	None	No	0	n/a	No	0	n/a	No	0	n/a
aprilpooh15	Q: Chocolate or Vanilla?<br>A: Chocolate! Bahah!	Chocolate or Vanilla?	 Chocolate! Bahah!	None	No	None	N/A	No	0	n/a	No	0	n/a
aprilpooh15	Q: definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;)<br>A: Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!	definitely true! :D i&#039;ve been learnin it for 5 years cuz i&#039;ve frensh origins haha ;)	 Ahhh!!;) wow 5yrs! man  its a gorgeous language! I love it!! this is my first year learnin it! haha NEWBIE!	zoeymason1994	No	0	n/a	No	0	n/a	No	0	n/a
