rev_id,worker_id,quoting_attack,recipient_attack,third_party_attack,other_attack,attack
37675,1362,0,0,0,0,0.0
37675,2408,0,0,0,0,0.0
37675,1493,0,0,0,0,0.0
37675,1439,0,0,0,0,0.0
37675,1362,0,0,0,0,0.0
37675,2408,0,0,0,0,0.0
37675,1493,0,0,0,0,0.0
37675,1439,0,0,0,0,0.0
37675,1493,0,0,0,0,0.0
37675,1439,0,0,0,0,0.0
44816,1362,0,0,0,0,0.0
44816,2408,0,0,0,0,0.0
44816,1493,0,0,0,0,0.0
44816,1439,0,0,0,0,0.0
44816,1362,0,0,0,0,0.0
44816,2408,0,0,0,0,0.0
44816,1493,0,0,0,0,0.0
44816,1439,0,0,0,0,0.0
44816,1493,0,0,0,0,0.0
44816,1439,0,0,0,0,0.0
49851,1362,0,0,0,0,0.0
49851,2408,0,0,0,0,0.0
49851,1493,0,0,0,0,0.0
49851,1439,0,0,0,0,0.0
49851,1362,0,0,0,0,0.0
49851,2408,0,0,0,0,0.0
49851,1493,0,0,0,0,0.0
49851,1439,0,0,0,0,0.0
49851,1493,0,0,0,0,0.0
49851,1439,0,0,0,0,0.0
89320,1362,0,0,0,0,0.0
89320,2408,0,0,0,0,0.0
89320,1493,0,0,0,0,0.0
89320,1439,0,0,0,0,0.0
89320,1362,0,0,0,0,0.0
89320,2408,0,0,0,0,0.0
89320,1493,0,0,0,0,0.0
89320,1439,0,0,0,0,0.0
89320,1493,0,0,0,0,0.0
89320,1439,0,0,0,0,0.0
93890,1362,0,0,0,0,0.0
93890,2408,0,0,0,0,0.0
93890,1493,0,0,0,0,0.0
93890,1439,0,0,0,0,0.0
93890,1362,0,0,0,0,0.0
93890,2408,0,0,0,0,0.0
93890,1493,0,0,0,0,0.0
93890,1439,0,0,0,0,0.0
93890,1493,0,0,0,0,0.0
93890,1439,0,0,0,0,0.0
102817,1362,0,0,0,0,0.0
102817,2408,0,0,0,0,0.0
102817,1493,0,0,0,0,0.0
102817,1439,0,0,0,0,0.0
102817,1362,0,0,0,0,0.0
102817,2408,0,0,0,0,0.0
102817,1493,0,0,0,0,0.0
102817,1439,0,0,0,0,0.0
102817,1493,0,0,0,0,0.0
102817,1439,0,0,0,0,0.0
103624,1362,0,0,0,0,1.0
103624,2408,0,0,0,0,0.0
103624,1493,0,0,0,0,1.0
103624,1439,0,0,0,0,1.0
103624,1362,0,0,0,0,0.0
103624,2408,0,0,0,0,1.0
103624,1493,0,0,0,0,0.0
103624,1439,0,0,0,0,1.0
103624,1493,0,0,0,0,0.0
103624,1439,0,0,0,0,1.0
